id,uniform1,zeroes1,nulls1,new-normal1,uniform2,normal2,normal3,uniform3,catStr1,catStrSteady2,descStr1
0.0,64,45,34,,20.700561486919696,1376,-1546,0.39889899207677926,piecing,astronautics's,Colosseum's compensation's bullhorn dithered corporals lambent bayonetting sacraments reconquers Tamil's Norway undertow's Macedon's bother propriety's versification's remembrance loud appropriate reappeared
100,87,87,73,,33.80203094465189,-6689,932,0.843132245577601,d'Estaing's,elopes,subplot frighting isle's syllabification's multipliers broadsiding bankruptcy terabyte extramarital civilizing synchronization's placidly imaging mortarboard's evangelizes skilled personification chastises imploring acquaint
200,85,73,12,,19.34318120522983,-1405,16901,0.7888165466585315,nightclub,salaam's,glowers epistolary Cordova's taxidermists heave regime's presided poising coarseness Montaigne's lubricates trapping pontificated sentimentality tempter Kurdistan's skilful forest's knuckleheads solenoids
300,68,15,86,,1.8658609970034146,5599,4054,0.20770246870455011,filtering,statehood's,outbreak's reconnects halfpenny's permeate presumptions furthermost upperclassman marchioness's Miltiades Proudhon's despatching imaging Buffy tensor ersatz footholds Zambezi disinterestedly closemouthed Creoles
400,42,7,28,,25.44525305930862,-17925,1856,0.8006146680967194,intensity,elopes,Parsifal's internist dissatisfaction overdose Thalia's homophone's Luxembourger softening vertex's Anselm Chanukah's Richthofen seconding Moreno whiskered granulate mewing StairMaster's portrayals junks
500,64,53,93,,19.83195976233617,8626,9065,0.7590619595623721,machinist,astronautics's,powerful indicative's pessimist limousines mouthwash's corrugates experimentation caplet's Mumbai's rusty fiascos Oneal levies Pooh economically expedience's droppers Pindar's siding's layovers
600,3,11,36,,20.451464617471746,-612,5943,0.8731059127214805,intensity,quicksilver,permeability's champed shuffled effeminate recuperating grater's maxim recantations braille's steamrolls nursing Bonita's bevel's enlarger internment rigmarole's helms Asians humanity apprehensiveness's
700,49,83,14,,6.3508055210127745,1321,-4312,0.8174792873930097,nightclub,astronautics's,exotically raucousness's Noumea's trickiness infrastructure's incompatible disrespectfully succeed invariables Rapunzel homesteader purgatorial Sontag prison's Chevy deputy Abyssinia preciousness balkier Britten
800,28,41,15,,22.71390036006246,-11016,-9152,0.40839023477594494,Sebring,statehood's,Tonto sluttish building's dismal retraction detecting jib's past blimps sock's Rick eyelashes Alexandra clipping gorgeous backwaters tempest's Sakai's outcasts Wilbert
900,37,9,19,,35.92663495722455,-1175,-24982,0.11274571345101159,uncomplicated,lamppost,inadequacy Phil Kirkpatrick frenetic Kirinyaga Sousa appetizer Mandrell's Jacques Milken's advocating primaeval curer abashes swamping hatchway's Teotihuacan's biddy caddied postmaster's
1000,57,77,92,,15.59609390823827,3017,6907,0.8888757818389262,d'Estaing's,statehood's,neologism Diefenbaker affinities perishing cheating amplitude embellishes recombined frenzy Peshawar's pederasts jimmied redistricted pluralities stingily monogrammed Americanization's ultra's lids Hemingway
1100,97,47,35,,21.205661331992268,-12091,-10330,0.39954888412305567,d'Estaing's,statehood's,dolmens transgression revues Jannie anchovies footlocker's morphine swindled balalaikas transmigration's tendinitis's sassafrases inkling's cliff's soberness afterthought Gretchen's badmouthing erection's exactly
1200,18,91,3,,10.455089040017992,-17925,8211,0.7002008990210252,Sebring,statehood's,stepsisters vengeance buccaneered Addams's understudy's meandered waterproof's cocooned Cuzco's underlined limo Sarnoff Sterno offsprings mythologist's electromagnets glockenspiels deliverer's conducing handbook's
1300,63,96,55,,39.61287265224945,-2041,-1252,0.27718600229161905,locavores,misjudgement's,goatherds Naphtali's devastation paperweight sepsis nonprofit's bunnies masturbating bamboo's sabotaging mesquite's Clausius Lynchburg bridling dislike's preambled Jewel's abasing Gale's disconcert
1400,50,97,16,,16.13945407330911,-12429,10090,0.27269653486409184,nightclub,salaam's,ivy Vatican's schizophrenia's contused assume scorpions swelling Champollion quorum's Buckley crotch Betelgeuse's Marvin's Charmin's connotations evangelist's reappearance's deliberation's transporting sloth's
1500,19,91,42,,19.464515967799922,6279,-6841,0.08481460187244616,locavores,humiliation's,foists centrals nonabsorbent's peasantry flick's irreconcilable edging Treasury's hurricane's arraignments changeover repudiate roach's silicates whitish buckram Rosie discusses fourths segregationist
1600,75,3,89,,28.744366829377242,-8707,7087,0.2715084991996102,intensity,elopes,dovetail's Carolyn's mawkishly leapfrogging sots easy kibitzes eulogistic cosmetology jobless Barbarella's clarets syrups underhand modishly deserter's gangling operetta trillion preparations
