id,uniform1,zeroes1,nulls1,new-normal1,uniform2,normal2,normal3,uniform3,catStr1,catStrSteady2,descStr1
0.0,13,94,49,,38.391907525373746,sometimes--189600,116320,all-0.29496457831394074,Bushnell Standish's enervated overpopulates mortuaries,misjudgement's,insensitivity's
100,48,9,,,39.60654625046167,sometimes-712840,535320,all-0.5355614007840784,Avernus haven's loggerhead's Argonne generalissimos,elopes,holsters
200,32,75,,,19.69296615614464,sometimes-625640,764080,all-0.4236126402417827,Cambodians mystification's Anibal's fruited finis,quicksilver,skillet
300,92,80,96,,35.51786163856539,-25000,334920,all-0.9684802591249074,Rumania infiltrator protozoa steelier vivacious,quicksilver,commingle
400,84,8,,,26.789816800757936,-155400,435240,all-0.26110370631451074,dictation's Vulcan's prescriptive polluter sugarcoats,astronautics's,insensitivity's
500,72,31,79,,12.777281714439246,sometimes--62360,19200,all-0.5279824960536877,encapsulation skiing obsequy Aelfric centerpiece's,elopes,February
600,75,58,77,,35.338468444888235,sometimes--613840,115720,all-0.5997245364973152,seminar's lancet vertigo scenario's inveigh,statehood's,February
700,72,99,30,,38.75493147995392,-199560,-176200,all-0.16257870618595338,Petersen affixing monomaniac's kaolin's governor's,lamppost,fraud
800,56,77,46,,19.428317005357698,-182600,217360,all-0.9463763385929288,subdivides inactive disaffects Rudolph's Marc,humiliation's,fraud
900,51,13,54,,30.19858289946718,sometimes--245800,558680,all-0.531495762923942,squall's Tupungato Negroes Gainesville's vacation's,elopes,fraud
1000,49,15,,,39.68364811604743,254800,-293320,all-0.7441598892811034,beautifying multiple kitchenettes buckles alleyway's,elopes,millionth
1100,35,18,,,3.404784009441917,484520,165720,all-0.7863339160272282,topics gambol fairway nitpick verged,astronautics's,fraud
1200,93,35,,,26.472771757881613,sometimes--131960,358160,all-0.07512818256076981,hillside size's nymphomaniac's reproducing lamp,cents,womanhood's
1300,28,55,19,,18.9405433321315,sometimes-766640,431800,all-0.9671826861226355,tearoom discomposed Krasnodar's drachmae self,statehood's,February
1400,58,9,76,,23.18962269106227,-58440,186400,all-0.25631032729359216,Scotch's silk shrunk rookeries Whittier,astronautics's,millionth
1500,76,88,,,33.399477711454736,20840,-65680,all-0.1304334235020148,broadly Romulus incriminated droopiest misapprehend,astronautics's,millionth
1600,30,99,,,0.8886547536133804,sometimes-134360,-595560,all-0.4086294919840153,exacerbates Easter's effusiveness indeterminacy therapist's,humiliation's,womanhood's
1700,45,85,7,,25.780132931256226,sometimes--368080,-524200,all-0.5957863888870106,baptistries resourcefully distress polygamists scathingly,elopes,millionth
1800,32,97,,,21.82956713035576,sometimes-176800,-260800,all-0.45631659241030087,Hus's entrench paunch's pitched anesthesiology,lamppost,womanhood's
1900,42,10,,,13.316403142826667,171440,124440,all-0.5343522993582505,catalogued howls grazed irrigate absconded,humiliation's,February
2000,56,72,,,33.67340787195922,564640,648720,all-0.18443092180796528,stunningly Kamchatka's exports gentlemanly northerner's,lamppost,womanhood's
2100,53,38,,,17.463264312723226,-327960,-239240,all-0.3836958037251629,balsam's academically dot's plasterboard overspecializing,astronautics's,insensitivity's
2200,47,49,90,,30.51667240937483,111640,-147640,all-0.5864438141613975,lifeboat Scotch's X's tricked Wycliffe's,perforated,skillet
2300,40,12,10,,25.81790374871297,sometimes-557880,-161840,all-0.04387594183587096,fluctuation satellites Casals beguiled observance,lamppost,above's
2400,62,76,83,,8.28339047667846,sometimes-85640,110280,all-0.30202922927993636,Jogjakarta's pervert's longer antiseptic's sulfur,lamppost,fraud
2500,9,89,,,4.209139711489609,164000,-429000,all-0.26449509311314723,jitterbug's liberals broadside's waistcoat cycle,statehood's,skillet
2600,36,96,,,22.66111644547452,-1259520,-234040,all-0.4160008457805978,Harry surmountable bound's newspapermen investiture,misjudgement's,skillet
2700,13,86,,,4.6980283414451085,-386240,17760,all-0.7736641897606293,savories bratty saved polytechnic's infotainment,astronautics's,millionth
2800,53,6,52,,30.226392968083594,279640,-122440,all-0.08804007531173053,repletion's Stefan's toughest rebinds handbooks,quicksilver,commingle
2900,67,18,72,,32.44320094631839,-134080,-226000,all-0.4438098533425202,savvier Medellin's currying cinnamon's adjudicating,perforated,February
3000,24,96,47,,18.809417477722377,sometimes-584360,-186560,all-0.26457276228299154,seniority Debian's slur's tawny's adult's,astronautics's,skillet
3100,6,13,50,,0.5127715092644225,198760,929400,all-0.9606425048488427,Root horrific artificially Christopher's Louie's,astronautics's,millionth
3200,46,11,,,7.964110814613878,sometimes--64080,281560,all-0.3641024557885124,hygienists Booker's fuzz's pubescence scurrying,statehood's,above's
3300,72,55,,,10.34588694916431,98280,333160,all-0.7336090414233586,studio circulation hobbyists Lateran sunbonnet,cents,holsters
3400,53,56,,,34.3591532715522,-404680,-466000,all-0.0010205124664910414,debarks matrices militiamen remind Swammerdam,salaam's,insensitivity's
3500,34,78,35,,39.391128464266345,-94880,-538520,all-0.11307425558377437,Lansing trendies tousled splutter's depict,lamppost,commingle
